new_name,original_dataset,original_split,original_name,split
lixo-dt1-00001,classificador-de-lixo,train,street_view_-19-937722337765003-43-907278765443840_jpg.rf.8df476346976ab51e546413dfd83b045.jpg,train
lixo-dt1-00002,classificador-de-lixo,train,street_view_-19-937722337765003-43-907278765443840_jpg.rf.8df476346976ab51e546413dfd83b045.jpg,train
lixo-dt1-00003,classificador-de-lixo,train,street_view_-19-937722337765003-43-907278765443840_jpg.rf.948cb937e91d9eabf2129fd4fc96a4dd.jpg,val
lixo-dt1-00004,classificador-de-lixo,train,street_view_-19-937722337765003-43-907278765443840_jpg.rf.948cb937e91d9eabf2129fd4fc96a4dd.jpg,train
lixo-dt1-00005,classificador-de-lixo,train,street_view_-19-937722337765003-43-907278765443840_jpg.rf.c1c949038f8d6d315592f0a6f508d46f.jpg,train
lixo-dt1-00006,classificador-de-lixo,train,street_view_-19-937722337765003-43-907278765443840_jpg.rf.c1c949038f8d6d315592f0a6f508d46f.jpg,train
lixo-dt1-00007,classificador-de-lixo,train,street_view_-22-996029675530004-43-31345517271254180_jpg.rf.0b9406dc6fb309f8176a4b113d708cb5.jpg,train
lixo-dt1-00008,classificador-de-lixo,train,street_view_-22-996029675530004-43-31345517271254180_jpg.rf.0b9406dc6fb309f8176a4b113d708cb5.jpg,test
lixo-dt1-00009,classificador-de-lixo,train,street_view_-22-996029675530004-43-31345517271254180_jpg.rf.5ca0393e2be17638be30662319b51eb0.jpg,train
lixo-dt1-00010,classificador-de-lixo,train,street_view_-22-996029675530004-43-31345517271254180_jpg.rf.5ca0393e2be17638be30662319b51eb0.jpg,train
lixo-dt1-00011,classificador-de-lixo,train,street_view_-22-996029675530004-43-31345517271254180_jpg.rf.d007c0544ea4df559258af61d49a30c5.jpg,val
lixo-dt1-00012,classificador-de-lixo,train,street_view_-22-996029675530004-43-31345517271254180_jpg.rf.d007c0544ea4df559258af61d49a30c5.jpg,train
lixo-dt1-00013,classificador-de-lixo,train,street_view_-22-996029675530004-43-3134551727125490_jpg.rf.1df4aef1be282e5a3819b51853538e0c.jpg,train
lixo-dt1-00014,classificador-de-lixo,train,street_view_-22-996029675530004-43-3134551727125490_jpg.rf.1df4aef1be282e5a3819b51853538e0c.jpg,train
lixo-dt1-00015,classificador-de-lixo,train,street_view_-22-996029675530004-43-3134551727125490_jpg.rf.47a417905120c59b1dc445495703c679.jpg,test
lixo-dt1-00016,classificador-de-lixo,train,street_view_-22-996029675530004-43-3134551727125490_jpg.rf.47a417905120c59b1dc445495703c679.jpg,train
lixo-dt1-00017,classificador-de-lixo,train,street_view_-22-996029675530004-43-3134551727125490_jpg.rf.5111267065ff7c56280f500e9b852ea6.jpg,train
lixo-dt1-00018,classificador-de-lixo,train,street_view_-22-996029675530004-43-3134551727125490_jpg.rf.5111267065ff7c56280f500e9b852ea6.jpg,train
